temp,windspeed,humidity,cloudcover,dhi,dni,dewpoint
13,3.4,80.4,35.2,0,0,9.8
13,3.5,84.5,50.4,0,0,10.2
13,3.4,87,21.6,0,0,10.4
12,3.1,87.9,32.2,0,0,10.4
12,3,88.5,48.7,0,0,10.5
12,2.9,89.9,40.5,0,0,10.4
12,2.8,92.4,40,0,0,10.5
12,2.8,94.2,33.4,0,0,10.7
12,2.7,94.8,30.8,0,0,10.6
12,2.5,95.1,32.3,0,0,10.7
12,2.2,95.5,13.8,0,0,10.8
12,1.9,96.1,7.2,0,0,11
12,1.9,96.1,9.5,0,0,11.3
12,1.9,96.4,7.1,3,4,11.2
12,1.7,96.8,44.2,44,17,11.5
13,1.3,96.5,69,75,0,12.2
14,1.3,94,78.9,81,0,13.2
